measurement_type,timestamp_utc,config_hash,variant,run,is_warmup,total_latency_ms,throughput_req_s,total_gas,access_latency_ms,budget_latency_ms,tee_latency_ms,proof_latency_ms,settlement_latency_ms,audit_latency_ms,access_gas,budget_gas,proof_gas,settlement_gas,audit_gas,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status,success
measured,2026-07-19T10:49:27.094Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,3,0,380.95080000206826,2.6250108937809573,1370254,4.986300000920892,2.567800000309944,154.14499999999998,213.51809999905527,5.752199999988079,0,376855,221765,283371,488263,0,141,43.247369465087445,1257787392,1469796352,11,,1
measured,2026-07-19T10:49:27.476Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,4,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1469796352,1,,1
measured,2026-07-19T10:49:27.888Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,4,0,6.91579999960959,144.59643136823678,433332,6.083799999207258,0,0,0,0,0.8399000000208616,407772,0,0,0,25560,16,22.01721746597833,1257787392,1469796352,5,,1
measured,2026-07-19T10:49:29.333Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,4,0,380.1000000008494,2.630886608781282,1103421,7.983500000089407,0,131.78799999999998,239.33689999952912,0,1.0087000001221895,407772,0,670089,0,25560,94,26.621324536547412,1257787392,1471107072,12,,1
measured,2026-07-19T10:49:30.763Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,4,0,130.1628999978751,7.682680702537551,685578,6.217199997976422,5.030500002205372,117.92699999999999,0,0,1.003600001335144,407772,252258,0,0,25548,62,39.8023747808062,1257787392,1414336512,8,,1
model_calibrated_from_measured_components,2026-07-19T10:49:32.207Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,4,0,242.91450000116228,4.1166747970796935,1370266,5.789500001817942,3.028899997472763,0.004,228.2069000005722,5.903000000864267,0,376855,221765,283371,488275,0,140,26.821063706812975,1257787392,1457893376,12,,1
measured,2026-07-19T10:49:33.671Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,4,0,370.39989999856056,2.6997847461726803,1370290,4.989000000059605,2.7159000001847744,134.478,222.3756999988109,5.860200000926852,0,376855,221765,283383,488287,0,126,31.617554065525876,1257787392,1528553472,12,,1
measured,2026-07-19T10:49:34.052Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,5,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1528553472,1,,1
measured,2026-07-19T10:49:34.461Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,5,0,6.986400002613664,143.13523411569517,433332,5.770899999886751,0,0,0,0,1.2278000004589558,407772,0,0,0,25560,31,19.97443272489775,1257787392,1529376768,5,,1
measured,2026-07-19T10:49:35.934Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,5,0,399.42430000251534,2.5036033110496847,1103457,6.425299998372793,0,128.701,262.64480000175536,0,1.6723000016063452,407772,0,670125,0,25560,94,33.333711587574044,1257787392,1459830784,11,,1
measured,2026-07-19T10:49:37.330Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,5,0,139.2087999995053,7.183453919605324,685446,4.683399999514222,3.358999999240041,129.805,0,0,1.3770000003278255,407712,252198,0,0,25536,63,19.867681238287236,1257787392,1490292736,7,,1
model_calibrated_from_measured_components,2026-07-19T10:49:38.821Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,5,0,234.85120000065862,4.258015287966149,1370278,4.2014999985694885,4.030199998989701,0.004,220.24000000022352,6.397900000214577,0,376855,221765,283383,488275,0,110,40.84633607614514,1257787392,1506271232,12,,1
measured,2026-07-19T10:49:40.282Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,5,0,374.77859999980035,2.6682419967429643,1370254,4.295799998566508,2.785300001502037,124.273,237.26549999788404,6.178499998524785,0,376855,221765,283383,488251,0,110,41.646710946117885,1257787392,1514160128,11,,1
measured,2026-07-19T10:49:40.677Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,6,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1514160128,1,,1
measured,2026-07-19T10:49:41.091Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,6,0,7.291499998420477,137.14599193809576,433332,5.69789999909699,0,0,0,0,1.6052000001072884,407772,0,0,0,25560,31,19.361034241277896,1257787392,1514160128,5,,1
measured,2026-07-19T10:49:42.545Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,6,0,372.5936000010073,2.6838893636318404,1103493,6.301200000569224,0,134.09199999999998,230.66750000044703,0,1.5509999990463257,407772,0,670161,0,25560,140,55.95829481563312,1257787392,1507151872,11,,1
measured,2026-07-19T10:49:43.961Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,6,0,155.0712000026405,6.448650684221005,685590,5.176599998027086,2.8828999996185303,145.871,0,0,1.1562000010162592,407772,252258,0,0,25560,47,31.244960493171725,1257787392,1493938176,7,,1
model_calibrated_from_measured_components,2026-07-19T10:49:45.441Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,6,0,251.1401000034958,3.98184121128438,1370290,6.484000001102686,3.406299998983741,0.004,236.15120000205934,5.117000000551343,0,376855,221765,283383,488287,0,218,40.55136044913098,1257787392,1534955520,12,,1
measured,2026-07-19T10:49:46.851Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,6,0,374.7565999978781,2.6683986352893108,1370218,4.95549999922514,2.6588000003248453,123.61500000000001,237.8384999986738,5.707499999552965,0,376831,221753,283371,488263,0,125,50.79302661702803,1257787392,1441513472,11,,1
measured,2026-07-19T10:49:47.222Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,7,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1441513472,1,,1
measured,2026-07-19T10:49:47.624Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,7,0,6.594600001350045,151.63921993680893,433332,5.581400001421571,0,0,0,0,1.0210999995470047,407772,0,0,0,25560,47,37.95075705685761,1257787392,1441513472,5,,1
measured,2026-07-19T10:49:49.126Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,7,0,367.39640000019966,2.7218557394668443,1103469,6.677000001072884,0,122.152,237.3325999993831,0,1.2559999991208315,407772,0,670137,0,25560,110,28.802125721527577,1257787392,1478955008,12,,1
measured,2026-07-19T10:49:50.556Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,7,0,156.10680000068248,6.405870852490911,685590,4.932500002905726,3.294300001114607,147.014,0,0,0.8796999994665384,407772,252258,0,0,25560,141,40.074378030745564,1257787392,1521246208,8,,1
model_calibrated_from_measured_components,2026-07-19T10:49:51.979Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,7,0,247.13210000404715,4.046418898975987,1370266,3.9619000013917685,3.064700001850724,0.004,234.67620000056922,5.441300000995398,0,376855,221765,283371,488275,0,156,59.197533341618424,1257787392,1503653888,11,,1
measured,2026-07-19T10:49:53.410Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,7,0,363.1820999996513,2.7534396656689855,1370242,4.33500000089407,2.6542999986559153,119.149,231.1768999993801,5.885499998927116,0,376855,221765,283371,488251,0,141,37.35708926569437,1257787392,3640254464,11,,1
measured,2026-07-19T10:49:53.799Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,8,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,15,0.4700725491161397,1257787392,3640254464,1,,1
measured,2026-07-19T10:49:54.226Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,8,0,6.418100001290441,155.80935164596022,433332,5.21680000051856,0,0,0,0,1.2104000002145767,407772,0,0,0,25560,16,15.979290840914098,1257787392,3640254464,5,,1
measured,2026-07-19T10:49:55.703Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,8,0,386.5288999993652,2.5871286726597735,1103433,8.11060000024736,0,129.068,248.51280000060797,0,0.8563000001013279,407772,0,670101,0,25560,110,43.811610081675695,1257787392,1501634560,12,,1
measured,2026-07-19T10:49:57.140Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,8,0,148.39699999509753,6.73868070131496,685518,5.594299998134375,4.218399999663234,137.336,0,0,1.2696000002324581,407736,252234,0,0,25548,47,22.44380071813771,1257787392,1436205056,7,,1
model_calibrated_from_measured_components,2026-07-19T10:49:58.615Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,8,0,283.360799999252,3.529069652551234,1370278,4.633299998939037,3.3947999998927116,0.004,269.50959999859333,5.838999999687076,0,376855,221765,283383,488275,0,125,58.268700526393246,1257787392,1499901952,13,,1
measured,2026-07-19T10:50:00.117Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,8,0,411.59030000288783,2.4296005032018093,1370230,4.184699999168515,3.427699999883771,139.842,259.15710000135005,4.997300000861287,0,376855,221765,283359,488251,0,109,29.952385372455115,1257787392,1516404736,11,,1
measured,2026-07-19T10:50:00.499Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,9,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1516404736,1,,1
measured,2026-07-19T10:50:00.902Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,9,0,5.1630999986082315,193.6820902693267,433332,4.213599998503923,0,0,0,0,0.9570000004023314,407772,0,0,0,25560,16,22.53825868895583,1257787392,1516404736,5,,1
measured,2026-07-19T10:50:02.350Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,9,0,365.8454000015259,2.733395035159193,1103469,6.2449000012129545,0,121.75200000000001,236.59050000086427,0,1.275900000706315,407772,0,670137,0,25560,125,47.81714721901346,1257787392,1519845376,13,,1
measured,2026-07-19T10:50:03.784Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,9,0,142.4240999993086,7.021283617062383,685590,5.479299997910857,4.597800001502037,131.234,0,0,1.1320000011473894,407772,252258,0,0,25560,94,53.68374386964063,1257787392,1453023232,7,,1
model_calibrated_from_measured_components,2026-07-19T10:50:05.231Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,9,0,236.62840000085532,4.226035420923209,1370194,4.561500001698732,4.125699998810887,0.005,221.21590000018477,6.739599999040365,0,376807,221741,283383,488263,0,187,41.20667162718819,1257787392,1493540864,12,,1
measured,2026-07-19T10:50:06.699Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,9,0,392.73850000250343,2.546223504936811,1370290,4.633799999952316,2.389700001105666,168.013,211.82350000180304,5.898599999025464,0,376855,221765,283383,488287,0,204,26.312215661722455,1257787392,1534066688,11,,1
measured,2026-07-19T10:50:07.083Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,10,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1534066688,1,,1
measured,2026-07-19T10:50:07.493Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,10,0,5.906200002878904,169.31360257230747,433332,4.59150000102818,0,0,0,0,1.3234000001102686,407772,0,0,0,25560,31,20.26019493088479,1257787392,1540005888,5,,1
measured,2026-07-19T10:50:08.980Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,10,0,369.959600000754,2.702997840839816,1103493,7.030200000852346,0,120.005,241.61119999922812,0,1.3328000009059906,407772,0,670161,0,25560,109,28.183304209970178,1257787392,1532190720,12,,1
measured,2026-07-19T10:50:10.363Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,10,0,125.07039999888838,7.995496936196638,685590,5.88599999807775,4.117300001904368,113.709,0,0,1.3766999989748,407772,252258,0,0,25560,188,26.46763008472743,1257787392,1505656832,7,,1
model_calibrated_from_measured_components,2026-07-19T10:50:11.826Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,10,0,251.96660000190138,3.9687799890638433,1370254,4.34770000167191,2.7574000004678965,0.005,239.11559999920428,5.758200000971556,0,376855,221765,283371,488263,0,250,39.85807134776529,1257787392,1493655552,11,,1
measured,2026-07-19T10:50:13.293Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,10,0,384.45500000283124,2.601084652280854,1370206,4.350499998778105,2.7615000009536743,154.54000000000002,216.47410000115633,6.348300000652671,0,376855,221765,283359,488227,0,141,39.26356746767261,1257787392,1502011392,13,,1
measured,2026-07-19T10:50:13.696Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,11,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1502011392,1,,1
measured,2026-07-19T10:50:14.103Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,11,0,5.885799998417497,169.90043838881172,433332,4.927699999883771,0,0,0,0,0.9685999993234873,407772,0,0,0,25560,31,40.40498832514554,1257787392,1502011392,5,,1
