measurement_type,boundary_index,boundary_center_fixed,offset_micro_epsilon,epsilon_requested,epsilon_requested_fixed,delta_requested_fixed,exact_conservative_cost_epsilon,exact_conservative_cost_micro_epsilon,vbs_cost_fixed,python_reference_cost_fixed,rounding_margin_micro_epsilon,under_reporting,ok
measured_with_analytical_margin,37,781489,0.49,0.781489490,781490,10000000,0.787062023990524,787062.023990524,787063,787063,0.976009476,0,1
measured_with_analytical_margin,38,802340,-0.49,0.802339510,802340,10000000,0.808389102822068,808389.102822068,808390,808390,0.897177932,0,1
measured_with_analytical_margin,38,802340,0.49,0.802340490,802341,10000000,0.808390128302361,808390.128302361,808391,808391,0.871697639,0,1
measured_with_analytical_margin,39,823191,-0.49,0.823190510,823191,10000000,0.829792637617284,829792.637617284,829793,829793,0.362382716,0,1
measured_with_analytical_margin,39,823191,0.49,0.823191490,823192,10000000,0.829793654676466,829793.654676466,829794,829794,0.345323534,0,1
measured_with_analytical_margin,40,844043,-0.49,0.844042510,844043,10000000,0.851268945746375,851268.945746375,851269,851269,0.054253625,0,1
measured_with_analytical_margin,40,844043,0.49,0.844043490,844044,10000000,0.851269988568357,851269.988568357,851270,851270,0.011431643,0,1
measured_with_analytical_margin,41,864894,-0.49,0.864893510,864894,10000000,0.872575456803073,872575.456803073,872576,872576,0.543196927,0,1
measured_with_analytical_margin,41,864894,0.49,0.864894490,864895,10000000,0.872576488538911,872576.488538911,872577,872577,0.511461089,0,1
measured_with_analytical_margin,42,885745,-0.49,0.885744510,885745,10000000,0.894035418764240,894035.418764240,894036,894036,0.581235760,0,1
measured_with_analytical_margin,42,885745,0.49,0.885745490,885746,10000000,0.894036437637274,894036.437637274,894037,894037,0.562362726,0,1
measured_with_analytical_margin,43,906596,-0.49,0.906595510,906596,10000000,0.915529983037781,915529.983037781,915530,915530,0.016962219,0,1
measured_with_analytical_margin,43,906596,0.49,0.906596490,906597,10000000,0.915531025895721,915531.025895721,915532,915532,0.974104279,0,1
measured_with_analytical_margin,44,927447,-0.49,0.927446510,927447,10000000,0.936913892884453,936913.892884453,936914,936914,0.107115547,0,1
measured_with_analytical_margin,44,927447,0.49,0.927447490,927448,10000000,0.936914920214600,936914.920214600,936915,936915,0.079785400,0,1
measured_with_analytical_margin,45,948298,-0.49,0.948297510,948298,10000000,0.958575535561806,958575.535561806,958576,958576,0.464438194,0,1
measured_with_analytical_margin,45,948298,0.49,0.948298490,948299,10000000,0.958576585988527,958576.585988527,958577,958577,0.414011473,0,1
measured_with_analytical_margin,46,969149,-0.49,0.969148510,969149,10000000,0.979899214561710,979899.214561710,979900,979900,0.785438290,0,1
measured_with_analytical_margin,46,969149,0.49,0.969149490,969150,10000000,0.979900246795648,979900.246795648,979901,979901,0.753204352,0,1
measured_with_analytical_margin,47,990000,-0.49,0.989999510,990000,10000000,1.001632649706813,1001632.649706813,1001633,1001633,0.350293187,0,1
measured_with_analytical_margin,47,990000,0.49,0.990000490,990001,10000000,1.001633661971310,1001633.661971310,1001634,1001634,0.338028690,0,1
