measurement_type,epsilon_requested,delta,releases,rdp_reference_epsilon,conservative_fixed_epsilon,rounding_gap_epsilon,per_release_cost_fixed
analytical_from_measured_cost,0.25,1e-05,9,0.7548180203713917,2.411577,1.6567589796286082,267953
analytical_from_measured_cost,0.25,1e-05,10,0.796407146444265,2.67953,1.8831228535557352,267953
analytical_from_measured_cost,0.25,1e-05,11,0.8358815748000493,2.947483,2.1116014251999506,267953
analytical_from_measured_cost,0.25,1e-05,12,0.8737435294625793,3.215436,2.3416924705374207,267953
analytical_from_measured_cost,0.25,1e-05,13,0.9101141940184935,3.483389,2.5732748059815065,267953
analytical_from_measured_cost,0.25,1e-05,14,0.9451341414282919,3.751342,2.8062078585717085,267953
analytical_from_measured_cost,0.25,1e-05,15,0.9789673734792247,4.019295,3.040327626520775,267953
analytical_from_measured_cost,0.25,1e-05,16,1.011806414008499,4.287248,3.275441585991501,267953
analytical_from_measured_cost,0.25,1e-05,17,1.0437591913379154,4.555201,3.511441808662085,267953
analytical_from_measured_cost,0.25,1e-05,18,1.0745002027947166,4.823154,3.748653797205283,267953
analytical_from_measured_cost,0.25,1e-05,19,1.1047454177716327,5.091107,3.9863615822283673,267953
analytical_from_measured_cost,0.25,1e-05,20,1.1340354636569314,5.35906,4.225024536343069,267953
analytical_from_measured_cost,0.25,1e-05,21,1.1627785566765385,5.627013,4.464234443323461,267953
analytical_from_measured_cost,0.25,1e-05,22,1.190737236839778,5.894966,4.704228763160222,267953
analytical_from_measured_cost,0.25,1e-05,23,1.2183716776718971,6.162919,4.944547322328102,267953
analytical_from_measured_cost,0.25,1e-05,24,1.2449989921130777,6.430872,5.185873007886922,267953
analytical_from_measured_cost,0.25,1e-05,25,1.271626306554258,6.698825,5.427198693445742,267953
analytical_from_measured_cost,0.25,1e-05,26,1.2973016369732788,6.966778,5.669476363026721,267953
analytical_from_measured_cost,0.25,1e-05,27,1.3225975856924002,7.234731,5.9121334143076,267953
analytical_from_measured_cost,0.25,1e-05,28,1.3478935344115215,7.502684,6.154790465588479,267953
analytical_from_measured_cost,0.25,1e-05,29,1.3722038166189385,7.770637,6.398433183381061,267953
analytical_from_measured_cost,0.25,1e-05,30,1.396168399616001,8.03859,6.642421600383998,267953
analytical_from_measured_cost,0.25,1e-05,31,1.4201329826130633,8.306543,6.886410017386936,267953
analytical_from_measured_cost,0.25,1e-05,32,1.4438207943607453,8.574496,7.130675205639255,267953
analytical_from_measured_cost,0.5,1e-05,1,0.5005777441160134,0.500578,2.558839865551832e-07,500578
analytical_from_measured_cost,0.5,1e-05,2,0.7110080056415751,1.001156,0.29014799435842487,500578
analytical_from_measured_cost,0.5,1e-05,3,0.8737435294625793,1.501734,0.6279904705374206,500578
analytical_from_measured_cost,0.5,1e-05,4,1.011806414008499,2.002312,0.9905055859915008,500578
analytical_from_measured_cost,0.5,1e-05,5,1.1340354636569314,2.50289,1.3688545363430684,500578
analytical_from_measured_cost,0.5,1e-05,6,1.2449989921130777,3.003468,1.758469007886922,500578
analytical_from_measured_cost,0.5,1e-05,7,1.3478935344115215,3.504046,2.1561524655884785,500578
analytical_from_measured_cost,0.5,1e-05,8,1.4438207943607453,4.004624,2.5608032056392545,500578
analytical_from_measured_cost,0.5,1e-05,9,1.5343536634607586,4.505202,2.970848336539241,500578
analytical_from_measured_cost,0.5,1e-05,10,1.6196024264491202,5.00578,3.3861775735508797,500578
analytical_from_measured_cost,0.5,1e-05,11,1.7010531954853971,5.506358,3.8053048045146025,500578
analytical_from_measured_cost,0.5,1e-05,12,1.7802874163752165,6.006936,4.226648583624783,500578
analytical_from_measured_cost,0.5,1e-05,13,1.8548438968105214,6.507514,4.652670103189478,500578
analytical_from_measured_cost,0.5,1e-05,14,1.928644701073151,7.008092,5.0794472989268495,500578
analytical_from_measured_cost,0.5,1e-05,15,1.9978757186202198,7.50867,5.510794281379781,500578
analytical_from_measured_cost,0.5,1e-05,16,2.067106736167289,8.009248,5.942141263832711,500578
analytical_from_measured_cost,0.5,1e-05,17,2.133024016924725,8.509826,6.376801983075275,500578
analytical_from_measured_cost,0.5,1e-05,18,2.196929571583558,9.010404,6.813474428416441,500578
analytical_from_measured_cost,0.5,1e-05,19,2.260835126242391,9.510982,7.250146873757609,500578
analytical_from_measured_cost,0.5,1e-05,20,2.3228943819089594,10.01156,7.68866561809104,500578
analytical_from_measured_cost,0.5,1e-05,21,2.381474473679556,10.512138,8.130663526320443,500578
analytical_from_measured_cost,0.5,1e-05,22,2.4400545654501524,11.012716,8.572661434549847,500578
analytical_from_measured_cost,0.5,1e-05,23,2.4986346572207494,11.513294,9.01465934277925,500578
analytical_from_measured_cost,0.5,1e-05,24,2.5572147489913464,12.013872,9.456657251008654,500578
analytical_from_measured_cost,0.5,1e-05,25,2.610579662611266,12.51445,9.903870337388735,500578
analytical_from_measured_cost,0.5,1e-05,26,2.6638342914936266,13.015028,10.351193708506372,500578
analytical_from_measured_cost,0.5,1e-05,27,2.7170889203759874,13.515606,10.798517079624013,500578
analytical_from_measured_cost,0.5,1e-05,28,2.770343549258348,14.016184,11.245840450741653,500578
analytical_from_measured_cost,0.5,1e-05,29,2.823598178140709,14.516762,11.69316382185929,500578
analytical_from_measured_cost,0.5,1e-05,30,2.8768528070230692,15.01734,12.14048719297693,500578
analytical_from_measured_cost,0.5,1e-05,31,2.924919828939143,15.517918,12.592998171060856,500578
analytical_from_measured_cost,0.5,1e-05,32,2.9728489949332677,16.018496,13.045647005066732,500578
analytical_from_measured_cost,1.0,1e-05,1,1.011806414008499,1.011807,5.859915008787908e-07,1011807
analytical_from_measured_cost,1.0,1e-05,2,1.4438207943607453,2.023614,0.5797932056392545,1011807
analytical_from_measured_cost,1.0,1e-05,3,1.7802874163752165,3.035421,1.2551335836247834,1011807
analytical_from_measured_cost,1.0,1e-05,4,2.067106736167289,4.047228,1.9801212638327108,1011807
analytical_from_measured_cost,1.0,1e-05,5,2.3228943819089594,5.059035,2.7361406180910404,1011807
analytical_from_measured_cost,1.0,1e-05,6,2.5572147489913464,6.070842,3.5136272510086535,1011807
analytical_from_measured_cost,1.0,1e-05,7,2.770343549258348,7.082649,4.312305450741652,1011807
analytical_from_measured_cost,1.0,1e-05,8,2.9728489949332677,8.094456,5.121607005066732,1011807
analytical_from_measured_cost,1.0,1e-05,9,3.1645656589097664,9.106263,5.941697341090234,1011807
analytical_from_measured_cost,1.0,1e-05,10,3.348851762088433,10.11807,6.769218237911566,1011807
analytical_from_measured_cost,1.0,1e-05,11,3.5192665745119873,11.129877,7.610610425488013,1011807
analytical_from_measured_cost,1.0,1e-05,12,3.689681386935542,12.141684,8.452002613064458,1011807
analytical_from_measured_cost,1.0,1e-05,13,3.857289402146302,13.153491,9.296201597853699,1011807
analytical_from_measured_cost,1.0,1e-05,14,4.006402363016912,14.165298,10.158895636983088,1011807
analytical_from_measured_cost,1.0,1e-05,15,4.155515323887522,15.177105,11.021589676112477,1011807
analytical_from_measured_cost,1.0,1e-05,16,4.304628284758132,16.188912,11.884283715241867,1011807
analytical_from_measured_cost,1.0,1e-05,17,4.453741245628742,17.200719,12.746977754371258,1011807
analytical_from_measured_cost,1.0,1e-05,18,4.6028542064993525,18.212526,13.609671793500649,1011807
analytical_from_measured_cost,1.0,1e-05,19,4.730996170029695,19.224333,14.493336829970307,1011807
analytical_from_measured_cost,1.0,1e-05,20,4.858807279347361,20.23614,15.377332720652639,1011807
analytical_from_measured_cost,1.0,1e-05,21,4.986618388665027,21.247947,16.261328611334974,1011807
analytical_from_measured_cost,1.0,1e-05,22,5.114429497982693,22.259754,17.14532450201731,1011807
analytical_from_measured_cost,1.0,1e-05,23,5.242240607300358,23.271561,18.02932039269964,1011807
analytical_from_measured_cost,1.0,1e-05,24,5.370051716618024,24.283368,18.913316283381974,1011807
analytical_from_measured_cost,1.0,1e-05,25,5.497862825935689,25.295175,19.79731217406431,1011807
analytical_from_measured_cost,1.0,1e-05,26,5.625673935253356,26.306982,20.681308064746645,1011807
analytical_from_measured_cost,1.0,1e-05,27,5.753485044571021,27.318789,21.565303955428977,1011807
analytical_from_measured_cost,1.0,1e-05,28,5.860490583654759,28.330596,22.47010541634524,1011807
analytical_from_measured_cost,1.0,1e-05,29,5.966999841419479,29.342403,23.37540315858052,1011807
analytical_from_measured_cost,1.0,1e-05,30,6.073509099184201,30.35421,24.2807009008158,1011807
analytical_from_measured_cost,1.0,1e-05,31,6.180018356948922,31.366017,25.18599864305108,1011807
analytical_from_measured_cost,1.0,1e-05,32,6.286527614713644,32.377824,26.091296385286352,1011807
