measurement_type,concurrency,run,capacity,accepted,reverted,settlement_batch_latency_ms,settlement_mean_latency_ms,throughput_req_s,total_gas,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations
measured_local_hardhat,8,0,4,4,4,14.007000000216067,3.5017500000540167,285.57149995989846,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,1,4,4,4,13.641099999658763,3.410274999914691,293.23148427180075,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,2,4,4,4,12.34970000013709,3.0874250000342727,323.8945075552926,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,3,4,4,4,12.604600000195205,3.1511500000488013,317.3444615408702,630504,4000000,4000000,0,0,0
measured_local_hardhat,8,4,4,4,4,11.910799999721348,2.977699999930337,335.8296672006565,630456,4000000,4000000,0,0,0
measured_local_hardhat,8,5,4,4,4,12.843299999833107,3.2108249999582767,311.44643511028926,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,6,4,4,4,13.379499999806285,3.3448749999515712,298.9648342656986,630456,4000000,4000000,0,0,0
measured_local_hardhat,8,7,4,4,4,12.849599999375641,3.2123999998439103,311.29373678514185,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,8,4,4,4,12.240800000727177,3.060200000181794,326.7760276911947,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,9,4,4,4,11.9433000003919,2.985825000097975,334.9158105271363,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,10,4,4,4,12.118400000035763,3.0296000000089407,330.0765777650676,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,11,4,4,4,12.416600000113249,3.104150000028312,322.1493806648774,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,12,4,4,4,11.697099999524653,2.9242749998811632,341.96510247519063,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,13,4,4,4,10.055900000035763,2.5139750000089407,397.7764297562401,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,14,4,4,4,11.275700000114739,2.8189250000286847,354.7451599421142,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,15,4,4,4,13.686599999666214,3.4216499999165535,292.25665980576264,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,16,4,4,4,11.253899999894202,2.8134749999735504,355.4323390147064,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,17,4,4,4,11.187800000421703,2.7969500001054257,357.53231196921894,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,18,4,4,4,11.05489999987185,2.7637249999679625,361.8305005062342,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,19,4,4,4,11.472899999469519,2.8682249998673797,348.6476828164589,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,20,4,4,4,11.70339999999851,2.9258499999996275,341.7810208999529,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,21,4,4,4,11.31980000063777,2.8299500001594424,353.36313360436014,630504,4000000,4000000,0,0,0
measured_local_hardhat,8,22,4,4,4,11.460699999704957,2.8651749999262393,349.0188208488989,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,23,4,4,4,10.44400000013411,2.6110000000335276,382.99502105980815,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,24,4,4,4,11.304999999701977,2.826249999925494,353.82574083197244,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,25,4,4,4,10.910199999809265,2.7275499999523163,366.6293926848205,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,26,4,4,4,12.063099999912083,3.015774999978021,331.5897240368688,630552,4000000,4000000,0,0,0
measured_local_hardhat,8,27,4,4,4,11.808199999853969,2.952049999963492,338.74764994236784,630528,4000000,4000000,0,0,0
measured_local_hardhat,8,28,4,4,4,12.254699999466538,3.0636749998666346,326.4053791748574,630360,4000000,4000000,0,0,0
measured_local_hardhat,8,29,4,4,4,11.831600000150502,2.9579000000376254,338.07769024891974,630528,4000000,4000000,0,0,0
measured_local_hardhat,16,0,8,8,8,23.270500000566244,2.9088125000707805,343.78290108959135,1231656,8000000,8000000,0,0,0
measured_local_hardhat,16,1,8,8,8,23.074299999512732,2.8842874999390915,346.70607559791364,1231512,8000000,8000000,0,0,0
measured_local_hardhat,16,2,8,8,8,23.24459999985993,2.905574999982491,344.16595682645465,1231704,8000000,8000000,0,0,0
measured_local_hardhat,16,3,8,8,8,23.154099999926984,2.894262499990873,345.5111621710724,1231704,8000000,8000000,0,0,0
measured_local_hardhat,16,4,8,8,8,22.352500000037253,2.7940625000046566,357.90180069283826,1231632,8000000,8000000,0,0,0
measured_local_hardhat,16,5,8,8,8,25.71030000038445,3.2137875000480562,311.15934080428366,1231632,8000000,8000000,0,0,0
measured_local_hardhat,16,6,8,8,8,25.054800000041723,3.1318500000052154,319.3000941929961,1231656,8000000,8000000,0,0,0
measured_local_hardhat,16,7,8,8,8,44.12559999991208,5.51569999998901,181.30065086969785,1231656,8000000,8000000,0,0,0
measured_local_hardhat,16,8,8,8,8,35.896200000308454,4.487025000038557,222.8648157724566,1231656,8000000,8000000,0,0,0
measured_local_hardhat,16,9,8,8,8,45.09580000024289,5.636975000030361,177.40011264811605,1231632,8000000,8000000,0,0,0
measured_local_hardhat,16,10,8,8,8,30.57730000000447,3.822162500000559,261.6319949766274,1231680,8000000,8000000,0,0,0
measured_local_hardhat,16,11,8,8,8,39.776200000196695,4.972025000024587,201.12529603030052,1231656,8000000,8000000,0,0,0
measured_local_hardhat,16,12,8,8,8,33.320600000210106,4.165075000026263,240.0917150336295,1231704,8000000,8000000,0,0,0
measured_local_hardhat,16,13,8,8,8,23.467800000682473,2.933475000085309,340.89262733478853,1231704,8000000,8000000,0,0,0
measured_local_hardhat,16,14,8,8,8,24.02049999963492,3.002562499954365,333.0488541088482,1231680,8000000,8000000,0,0,0
