payload_bytes,run,stage,latency_us,total_validated_vbs_us,percent_of_total_vbs_latency,measurement_type
4096,21,External validation,63371.0,142371.0,44.51117151667123,measured_paired
4096,22,Transcript,12.0,128235.0,0.00935781962802667,measured_paired
4096,22,Evidence generation,2018.0,128235.0,1.5736733341131517,measured_paired
4096,22,External validation,66235.0,128235.0,51.65126525519554,measured_paired
4096,23,Transcript,11.0,120215.0,0.009150272428565486,measured_paired
4096,23,Evidence generation,1988.0,120215.0,1.653703780726199,measured_paired
4096,23,External validation,58215.0,120215.0,48.425737220812714,measured_paired
4096,24,Transcript,11.0,104570.0,0.010519269388926078,measured_paired
4096,24,Evidence generation,1887.0,104570.0,1.80453284880941,measured_paired
4096,24,External validation,72570.0,104570.0,69.39848905039686,measured_paired
4096,25,Transcript,11.0,149716.0,0.007347244115525395,measured_paired
4096,25,Evidence generation,1933.0,149716.0,1.2911111704827807,measured_paired
4096,25,External validation,87716.0,149716.0,58.58826043976595,measured_paired
4096,26,Transcript,12.0,106458.0,0.011272050949670293,measured_paired
4096,26,Evidence generation,1912.0,106458.0,1.7960134513141333,measured_paired
4096,26,External validation,59458.0,106458.0,55.85113378045802,measured_paired
4096,27,Transcript,29.0,128939.0,0.022491255554952343,measured_paired
4096,27,Evidence generation,2116.0,128939.0,1.6410860949751434,measured_paired
4096,27,External validation,65939.0,128939.0,51.13968620820698,measured_paired
4096,28,Transcript,12.0,123666.0,0.009703556353403522,measured_paired
4096,28,Evidence generation,2124.0,123666.0,1.7175294745524234,measured_paired
4096,28,External validation,61666.0,123666.0,49.864958840748464,measured_paired
4096,29,Transcript,12.0,127189.0,0.0094347781647784,measured_paired
4096,29,Evidence generation,1974.0,127189.0,1.5520210081060468,measured_paired
4096,29,External validation,64189.0,127189.0,50.467414634913396,measured_paired
4096,30,Transcript,12.0,110666.0,0.010843438815896481,measured_paired
4096,30,Evidence generation,2114.0,110666.0,1.91025247140043,measured_paired
4096,30,External validation,63666.0,110666.0,57.52986463773878,measured_paired
16384,1,Transcript,14.0,147192.0,0.009511386488396108,measured_paired
16384,1,Evidence generation,1889.0,147192.0,1.2833577911843035,measured_paired
16384,1,External validation,69192.0,147192.0,47.00798956465025,measured_paired
16384,2,Transcript,12.0,111637.0,0.010749124394242053,measured_paired
16384,2,Evidence generation,1892.0,111637.0,1.694778612825497,measured_paired
16384,2,External validation,64637.0,111637.0,57.899262789218625,measured_paired
16384,3,Transcript,18.0,141493.0,0.012721477387573944,measured_paired
