measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,rows,function_id,epsilon_requested,delta_requested,total_latency_ms,throughput_req_s,total_gas,proof_overhead_ms,attestation_overhead_ms,budget_overhead_ms,other_lifecycle_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,security_coverage_score,security_coverage_total,success,failure_status
locally_measured,2026-07-19T11:13:49.750Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,6,0,1000,2,0.5,0.00001,916.0869999993593,1.0915993786623972,1370218,243.2833000011742,78.339,3.7499000001698732,590.7147999980152,60,2234.875,100,1367285760,3217207296,8,8,1,
locally_measured,2026-07-19T11:13:50.998Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,7,0,1000,2,0.5,0.00001,776.778599999845,1.2873681123555663,0,0,78.299,0,698.479599999845,81.723,577.125,3.0597050360921525,1367285760,3296804864,3,8,1,
locally_measured,2026-07-19T11:13:51.489Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,7,0,1000,2,0.5,0.00001,7.801500000059605,128.18047811220404,433332,0,0,0,7.801500000059605,0,16,0.4445378961883368,1367285760,3287945216,1,8,1,
locally_measured,2026-07-19T11:13:52.718Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,7,0,1000,2,0.5,0.00001,706.1205000001937,1.4161888799429072,670173,297.6721000019461,0,0,408.4483999982476,0,1828,100,1367285760,3289927680,2,8,1,
locally_measured,2026-07-19T11:13:53.333Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,7,0,1000,2,0.5,0.00001,167.66159999929368,5.9643949479440295,0,0,0,0.001,167.66059999929368,13.572,15,0.24407236101146898,1367285760,1077370880,2,8,1,
locally_measured,2026-07-19T11:13:54.730Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,7,0,1000,2,0.5,0.00001,896.0338000003248,1.116029328357521,1370254,236.59790000133216,77.501,3.3194999992847443,578.615399999708,52.321,1952.875,100,1367285760,3206852608,8,8,1,
locally_measured,2026-07-19T11:13:55.876Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,8,0,1000,2,0.5,0.00001,693.988500000909,1.4409460675482233,0,0,83.277,0,610.7115000009089,64.47099999999999,562.5,3.411459578512905,1367285760,3286073344,3,8,1,
locally_measured,2026-07-19T11:13:56.338Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,8,0,1000,2,0.5,0.00001,8.936499999836087,111.90063224062462,433296,0,0,0,8.936499999836087,0,16,24.279505672057933,1367285760,3281612800,1,8,1,
locally_measured,2026-07-19T11:13:57.508Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,8,0,1000,2,0.5,0.00001,661.7092000003904,1.511237867025893,670173,249.54280000180006,0,0,412.16639999859035,0,2015,100,1367285760,3283283968,2,8,1,
locally_measured,2026-07-19T11:13:58.110Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,8,0,1000,2,0.5,0.00001,165.12900000065565,6.055871470159872,0,0,0,0.001,165.12800000065565,13.041999999999998,15.625,0,1367285760,1079480320,2,8,1,
