measurement_type,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,cumulative_accepted_requests
measured_local_hardhat,0.25,267953,16,1,0,,4.448900000192225,5000000,4287248,0,712752,0,16
measured_local_hardhat,0.25,267953,17,1,0,,4.37360000051558,5000000,4555201,0,444799,0,17
measured_local_hardhat,0.25,267953,18,1,0,,4.829599999822676,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,19,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.4915000004693866,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,20,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.4358000000938773,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,21,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.4662999995052814,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,22,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",1.8638000003993511,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,23,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.3203999996185303,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,24,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.739299999549985,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,25,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.212999999523163,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,26,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.3304000003263354,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,27,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.269600000232458,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,28,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",2.1394999995827675,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,29,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",1.7647000001743436,5000000,4823154,0,176846,0,18
